date,revenue,unique_customers,total_views,rolling_mean,rolling_std,revenue_lag_1,revenue_lag_7,revenue_per_customer,views_per_customer
2017-11-28,14450.54,117,15047,5878.964285714285,7341.593547348007,,,123.50888783325738,128.6068365076339
2017-11-29,13411.960000000001,98,14159,5878.964285714285,7341.593547348007,14450.54,,136.8567332973803,144.47959036245317
2017-11-30,13290.25,116,15766,5878.964285714285,7341.593547348007,13411.960000000001,,114.5711197019731,135.91379193177767
2017-12-01,0.0,82,12524,5878.964285714285,7341.593547348007,13290.25,,0.0,152.7317054544914
2017-12-02,0.0,26,3313,5878.964285714285,7341.593547348007,0.0,,0.0,127.42307202218953
2017-12-03,0.0,63,8544,5878.964285714285,7341.593547348007,0.0,,0.0,135.61904546636435
2017-12-04,0.0,88,12751,5878.964285714285,7341.593547348007,0.0,,0.0,144.8977256261622
2017-12-05,0.0,135,12604,3814.6014285714286,6514.766914378513,0.0,14450.54,0.0,93.36296227138547
2017-12-06,0.0,77,10510,1898.607142857143,5023.242337410879,0.0,13411.960000000001,0.0,136.49350472086357
2017-12-07,0.0,97,11985,0.0,0.0,0.0,13290.25,0.0,123.55669975714743
2017-12-08,0.0,94,7922,0.0,0.0,0.0,0.0,0.0,84.27659484812133
2017-12-10,0.0,63,8521,0.0,0.0,0.0,0.0,0.0,135.25396610707992
2017-12-11,0.0,81,17017,0.0,0.0,0.0,0.0,0.0,210.08641715942696
2017-12-12,0.0,92,11127,0.0,0.0,0.0,0.0,0.0,120.9456508592864
2017-12-13,0.0,83,14280,0.0,0.0,0.0,0.0,0.0,172.04819069821457
2017-12-14,0.0,117,9505,0.0,0.0,0.0,0.0,0.0,81.23931554496312
2017-12-15,0.0,56,8973,0.0,0.0,0.0,0.0,0.0,160.23213999585465
2017-12-17,0.0,35,4013,0.0,0.0,0.0,0.0,0.0,114.6571395812246
2017-12-18,0.0,33,3212,0.0,0.0,0.0,0.0,0.0,97.33333038383849
2017-12-19,0.0,32,5218,0.0,0.0,0.0,0.0,0.0,163.06249490429704
2017-12-20,0.0,15,3028,0.0,0.0,0.0,0.0,0.0,201.8666532088898
2018-01-01,0.0,29,3005,0.0,0.0,0.0,0.0,0.0,103.62068608204531
2018-01-02,0.0,31,5603,0.0,0.0,0.0,0.0,0.0,180.74192965348612
2018-01-03,0.0,13,1994,0.0,0.0,0.0,0.0,0.0,153.38460358579974
2018-01-04,0.0,71,8499,0.0,0.0,0.0,0.0,0.0,119.7042236661377
2018-01-05,0.0,42,5463,0.0,0.0,0.0,0.0,0.0,130.07142547448987
2018-01-07,0.0,29,4702,0.0,0.0,0.0,0.0,0.0,162.1379254435198
2018-01-08,0.0,43,8682,0.0,0.0,0.0,0.0,0.0,201.90697204867507
2018-01-09,0.0,34,5678,0.0,0.0,0.0,0.0,0.0,166.99999508823544
2018-01-10,0.0,42,5706,0.0,0.0,0.0,0.0,0.0,135.85713962244907
2018-01-11,0.0,62,9615,0.0,0.0,0.0,0.0,0.0,155.08064265998965
2018-01-12,0.0,41,4534,0.0,0.0,0.0,0.0,0.0,110.58536315645456
2018-01-14,0.0,35,5700,0.0,0.0,0.0,0.0,0.0,162.85713820408176
2018-01-15,0.0,33,6112,0.0,0.0,0.0,0.0,0.0,185.21211559963288
2018-01-16,0.0,44,8924,0.0,0.0,0.0,0.0,0.0,202.8181772086778
2018-01-17,0.0,60,5168,0.0,0.0,0.0,0.0,0.0,86.13333189777781
2018-01-18,0.0,53,7288,0.0,0.0,0.0,0.0,0.0,137.50943136774657
2018-01-19,0.0,40,8369,0.0,0.0,0.0,0.0,0.0,209.22499476937514
2018-01-21,0.0,48,5892,0.0,0.0,0.0,0.0,0.0,122.74999744270839
2018-01-22,0.0,45,7689,0.0,0.0,0.0,0.0,0.0,170.86666286962972
2018-01-23,0.0,99,8009,0.0,0.0,0.0,0.0,0.0,80.89898908182839
2018-01-24,0.0,57,7649,0.0,0.0,0.0,0.0,0.0,134.19298010187754
2018-01-25,0.0,57,7821,0.0,0.0,0.0,0.0,0.0,137.2105239085873
2018-01-26,0.0,51,6193,0.0,0.0,0.0,0.0,0.0,121.43137016801235
2018-01-28,0.0,48,7490,0.0,0.0,0.0,0.0,0.0,156.0416634157987
2018-01-29,0.0,51,6337,0.0,0.0,0.0,0.0,0.0,124.25489952441374
2018-01-30,0.0,41,7143,0.0,0.0,0.0,0.0,0.0,174.21950794586567
2018-01-31,0.0,45,7229,0.0,0.0,0.0,0.0,0.0,160.64444087456798
2018-02-01,4837.9,52,8239,691.1285714285714,1828.5543239713338,0.0,0.0,93.0365366723743,158.4423046453403
2018-02-02,4328.16,53,5556,1309.4371428571428,2241.1256835923145,4837.9,0.0,81.66339468559633,104.83018670131723
2018-02-04,2310.46,29,3803,1639.5028571428572,2185.584722568262,4328.16,0.0,79.67103173548166,131.13792651248528
2018-02-05,6838.37,47,6617,2616.412857142857,2778.50263604166,2310.46,0.0,145.49723094686743,140.7872310470802
2018-02-06,3607.21,52,6954,3131.7285714285713,2536.3251675237275,6838.37,0.0,69.36942174289574,133.73076665902371
2018-02-07,4111.69,26,2974,3719.112857142857,2134.444915941954,3607.21,0.0,158.14191699454165,114.38461098520726
2018-02-08,2901.15,50,4781,4133.562857142857,1470.261414915884,4111.69,0.0,58.02299883954003,95.61999808760004
2018-02-09,3009.97,31,4153,3872.4300000000003,1486.5535803439154,2901.15,4837.9,97.0958033194902,133.96773761394394
2018-02-11,3554.9900000000002,41,6478,3761.9771428571426,1475.7330815870653,3009.97,4328.16,86.70707105592511,157.99999614634157
2018-02-12,5680.741,37,6991,4243.445857142857,1473.0239097494168,3554.9900000000002,2310.46,153.53353639098552,188.9459408392989
2018-02-13,8022.7300000000005,57,9178,4412.640142857143,1842.45158295502,5680.741,6838.37,140.749646653515,161.01754103477998
2018-02-14,3361.39,47,6888,4377.523,1862.5942331856168,8022.7300000000005,3607.21,71.5189346485333,146.55318837120876
2018-02-15,5028.67,77,8389,4508.520142857143,1872.998804797659,3361.39,4111.69,65.30740174925452,108.94805053314221
2018-02-16,7938.45,33,5494,5228.1344285714285,2105.7308368665263,5028.67,2901.15,240.55908361942173,166.48484343985325
2018-02-18,3367.131,50,4351,5279.157428571429,2046.5202599883057,7938.45,3009.97,67.34261865314762,87.01999825960004
2018-02-19,3731.4900000000002,45,8322,5304.371714285714,2022.6855857803391,3367.131,3554.9900000000002,82.92199815728894,184.9333292237038
2018-02-20,4217.94,46,6589,5095.400142857143,2052.6624207136756,3731.4900000000002,5680.741,91.69434583273161,143.23912732088854
2018-02-21,5192.741,51,6950,4691.116,1611.24349252629,4217.94,8022.7300000000005,101.81844898395198,136.2745071318724
2018-02-22,5217.1,69,9503,4956.217428571429,1505.1672174222376,5192.741,3361.39,75.61014383173705,137.72463568515022
2018-02-23,7546.4310000000005,31,4703,5315.897571428572,1797.7550096700056,5217.1,5028.67,243.43325021183065,151.70967252549443
2018-02-25,3960.79,50,5616,4747.660428571428,1419.4963651850621,7546.4310000000005,7938.45,79.21579841568403,112.31999775360005
2018-02-26,4471.6,51,7039,4905.441714285715,1296.5275998387212,3960.79,3367.131,87.67842965336413,138.0196051368705
2018-02-27,6904.31,75,7563,5358.701714285715,1370.2251825777478,4471.6,3731.4900000000002,92.05746543923381,100.83999865546669
2018-02-28,6203.96,60,10398,5642.418857142858,1298.3809576130293,6904.31,4217.94,103.39933161001115,173.29999711166673
2018-03-01,7608.82,76,11677,5987.573000000001,1468.8636350173274,6203.96,5192.741,100.11605131426248,153.644734820464
2018-03-02,5063.21,55,6456,5965.588714285715,1483.3968574395574,7608.82,5217.1,92.05836196257525,117.38181604760335
2018-03-04,6232.91,49,8424,5777.942857142857,1324.6835460807708,5063.21,7546.4310000000005,127.20224230199506,171.91836383840075
2018-03-05,9686.83,73,8910,6595.948571428571,1723.4722574251866,6232.91,3960.79,132.6962995521055,122.05479284856449
